id;code;date;details;status;payment_method;payment_date;payment_amount
1;notwithstanding;2024-07-08T21:56:29;appetizer whoever till;CANCELLED;PAYPAL;2024-07-08T23:09:42;9093.04
2;pupil;2024-07-08T04:55:48;reuse droopy police;ISSUED;PAYPAL;2024-07-08T05:04:43;112.55
3;unlike gator;2024-07-08T21:21:26;enfranchise;ISSUED;PAYPAL;2024-07-08T07:45:54;30370.2
4;eyeliner gently;2024-07-08T13:54:41;cloak;CANCELLED;PAYPAL;2024-07-08T07:39:46;4830.26
5;populist contextualize;2024-07-08T13:18:30;hourly wetly;ISSUED;PAYPAL;2024-07-08T18:06:04;9009.78
6;unfortunately indeed though;2024-07-08T06:00:12;oof impressive;ISSUED;CASH_ON_DELIVERY;2024-07-08T18:18:58;23509.59
7;minus ketch yieldingly;2024-07-08T07:32:57;continually which;PAID;PAYPAL;2024-07-08T13:24:51;24573.18
8;including whoa hastily;2024-07-08T02:16:50;whoever;PAID;CASH_ON_DELIVERY;2024-07-08T19:04:31;18612.73
9;wow boo;2024-07-08T16:42:13;corridor;PAID;CASH_ON_DELIVERY;2024-07-08T23:56:00;5617.92
10;vision;2024-07-08T13:53:30;what birth gosh;ISSUED;CASH_ON_DELIVERY;2024-07-08T19:58:21;20623.81
