id;placed_date;status;code;invoice_id;customer
1;2024-07-08T16:36:25;COMPLETED;ill-informed;10075;rehash rare sweltering
2;2024-07-08T15:16:04;CANCELLED;since failing;3753;meanwhile red queasily
3;2024-07-08T08:03:54;COMPLETED;afore;11738;bleakly inject
4;2024-07-08T09:47:05;CANCELLED;ack healthy;32353;liberalise
5;2024-07-08T17:18:43;CANCELLED;indolent concerned step-aunt;23346;grotesque burden hmph
6;2024-07-08T10:06:44;CANCELLED;whose command;14202;ack
7;2024-07-08T11:23:39;PENDING;hate abnormally excellence;9214;ew yippee
8;2024-07-08T12:05:04;CANCELLED;greedily uh-huh upward;15800;although gracefully hot
9;2024-07-08T16:29:43;COMPLETED;blanket even unless;23606;safe
10;2024-07-08T19:20:12;COMPLETED;ensconce pro;10845;savage wholly
